"video_id","title","channel","upload_date","duration_sec","category","brand_or_source","actor","source_url","local_filename"
"WxyusRiyLrA","Tulsi Pan Masala  | Tulsi pan masala old doordarshan ads","90s time travels","20230304","65","Promotional","Tulsi","Not identified","https://www.youtube.com/watch?v=WxyusRiyLrA","Videos\Promotional\WxyusRiyLrA.mp4"
"AkkChMJv4wA","Tulsi old ads rima Khan Shaan","Current Affairs World","20200426","59","Promotional","Tulsi","Rima Khan; Shaan","https://www.youtube.com/watch?v=AkkChMJv4wA","Videos\Promotional\AkkChMJv4wA.mp4"
"XwgNLyk38sI","Tulsi Mix Pan Masala | तुलसी पान मसाला | old ad tulsi mix old advertisement","Unforgettable 90's","20220824","66","Promotional","Tulsi","Not identified","https://www.youtube.com/watch?v=XwgNLyk38sI","Videos\Promotional\XwgNLyk38sI.mp4"
"DsWP_FrACgM","Hamza Ali Abasi and mehwish hayat beautiful add | Tulsi","Ads TV","20181215","116","Promotional","Tulsi","Hamza Ali Abbasi; Mehwish Hayat","https://www.youtube.com/watch?v=DsWP_FrACgM","Videos\Promotional\DsWP_FrACgM.mp4"
"fmK0FYpaJ7E","Tulsi Mix - Bollywood Advert from the 80s!","Friday Night At The Movies","20200524","63","Promotional","Tulsi","Not identified","https://www.youtube.com/watch?v=fmK0FYpaJ7E","Videos\Promotional\fmK0FYpaJ7E.mp4"
"oWPLQY-tESk","Pan Bahar Elaichi - Pehchan Kamyabi ki | Latest Video 2021 | Tiger Shroff | Mahesh Babu | Latest Ads","Pan Bahar - Pehchan Kamyabi ki","20210912","60","Promotional","PanBahar","Tiger Shroff; Mahesh Babu","https://www.youtube.com/watch?v=oWPLQY-tESk","Videos\Promotional\oWPLQY-tESk.mp4"
"ob1RBsKnLP0","Pan Bahar brings on board Pierce Brosnan for its new ad","ET BrandEquity","20161007","60","Promotional","PanBahar","Pierce Brosnan","https://www.youtube.com/watch?v=ob1RBsKnLP0","Videos\Promotional\ob1RBsKnLP0.mp4"
"IrEUXOE2JHA","Kamla Pasand Elaichi","Nitin Parmar","20190119","101","Promotional","PanBahar","Not identified","https://www.youtube.com/watch?v=IrEUXOE2JHA","Videos\Promotional\IrEUXOE2JHA.mp4"
"CeRs1uTREGg","Ab Naya Pan Bahar X-Factor Ke Saath | The Heritage Elaichi | 4gm @ ₹10 | Pehchaan Kamyabi Ki","Pan Bahar - Pehchan Kamyabi ki","20260626","10","Promotional","PanBahar","Not identified","https://www.youtube.com/watch?v=CeRs1uTREGg","Videos\Promotional\CeRs1uTREGg.mp4"
"f5m68k2yyfo","Pan Parag Old Indian Ad Ashok Kumar Shammi Kapoor","All About 90's Life","20140320","30","Promotional","PanBahar","Ashok Kumar; Shammi Kapoor","https://www.youtube.com/watch?v=f5m68k2yyfo","Videos\Promotional\f5m68k2yyfo.mp4"
"iEGY45xE5io","Kamla pasand pan masala Ad","Arunakar ","20260515","60","Promotional","KamlaPasand","Not identified","https://www.youtube.com/watch?v=iEGY45xE5io","Videos\Promotional\iEGY45xE5io.mp4"
"ymCBZ6xXJkY","Kamla Pasand ""Choti Choti Baatein""","Nitin Parmar","20150530","122","Promotional","KamlaPasand","Not identified","https://www.youtube.com/watch?v=ymCBZ6xXJkY","Videos\Promotional\ymCBZ6xXJkY.mp4"
"cz5n3qm1G8k","kamla Pasand new ad   Cricketar ad","SHIV OM","20230428","20","Promotional","KamlaPasand","Not identified","https://www.youtube.com/watch?v=cz5n3qm1G8k","Videos\Promotional\cz5n3qm1G8k.mp4"
"zNfEfnyxE6c","Amitabh Bachchan Ranveer Singh in kamla pasand Advertisement","Sumit Aggarwal","20211022","23","Promotional","KamlaPasand","Amitabh Bachchan; Ranveer Singh","https://www.youtube.com/watch?v=zNfEfnyxE6c","Videos\Promotional\zNfEfnyxE6c.mp4"
